skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
runpod-mcp,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""49e6e1308b24e5d8"", ""AAA"": ""b6cd7fb52dd7af76""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-somatic-music-doctrine,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""7f980d85ba1546a0"", ""AAA"": ""50b18cc1ffd19fa8""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-lsp-pre-edit-gate,CODING,A2M,HERMES|AAA,"{""HERMES"": ""82499a1e70f9a404"", ""AAA"": ""e832956ebf00baa8""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
hermes-federated-identity,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""c4aa4d75b5e68cd7"", ""AAA"": ""d8322aa50459d8d8""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
qwen-harness-tools,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""d30b2b9c13995c08"", ""AAA"": ""4c33a128c27af40e""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-postgres-schema-design,CODING,A2M,HERMES|AAA,"{""HERMES"": ""b1d45741219e982b"", ""AAA"": ""2dae63430817ca9a""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
FORGE-model-monitor,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""ab8980c24093782b"", ""AAA"": ""bf392cf224256f74""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FLAME-router,ROUTING,OPENCLAW,HERMES|KIMI,"{""HERMES"": ""16793cedb8880226"", ""KIMI"": ""46f39a23889cc222""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
companion-clis,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""5aa33059d0b36235"", ""AAA"": ""cef4437253e8253f""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-visual-qa-w3,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""708ac95f596b9a15"", ""AAA"": ""5e15ab709ab9a3a6""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
delta-omega-psi-multimodal-cognition,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""17c5f58624f993f4"", ""AAA"": ""862ec1af4e63ad54""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
xauusd-trading,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""a5e9b67b08e91394"", ""AAA"": ""147d5a5a1b80972a""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
flash,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""95a1b57f25ca6fa7"", ""AAA"": ""3e5ad053e4af1165""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-cross-agent-handoff,ROUTING,OPENCLAW,HERMES|AAA,"{""HERMES"": ""dad5a1f7d6c55b00"", ""AAA"": ""18d632fb96e4b804""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
